,Unnamed: 0,date,target,insult,tweet,mainTweetTarget
0,1,2014-10-09,thomas-frieden,fool,"Can you believe this fool, Dr. Thomas Frieden of CDC, just stated, ""anyone with fever should be asked if they have been in West Africa"" DOPE",Hilary
1,2,2014-10-09,thomas-frieden,DOPE,"Can you believe this fool, Dr. Thomas Frieden of CDC, just stated, ""anyone with fever should be asked if they have been in West Africa"" DOPE",Hilary
2,3,2015-06-16,politicians,all talk and no action,Big time in U.S. today - MAKE AMERICA GREAT AGAIN! Politicians are all talk and no action - they can never bring us back.,Hilary
3,4,2015-06-24,ben-cardin,It's politicians like Cardin that have destroyed Baltimore.,Politician @SenatorCardin didn't like that I said Baltimore needs jobs & spirit. It's politicians like Cardin that have destroyed Baltimore.,Hilary
4,5,2015-06-24,neil-young,total hypocrite,"For the nonbeliever, here is a photo of @Neilyoung in my office and his $$ request—total hypocrite. http://t.co/Xm4BJvetIa",Hilary
5,6,2015-06-24,rockin-in-the-free-world,didn't love it,".@Neilyoung’s song, “Rockin’ In The Free World” was just one of 10 songs used as background music. Didn’t love it anyway.",Hilary
6,7,2015-06-25,willie-geist,uncomfortable looking,Uncomfortable looking NBC reporter Willie Geist calls me to ask for favors and then mockingly smiles when he is told of my high poll numbers,Hilary
7,8,2015-06-25,jeb-bush,will NEVER Make America Great Again,"Just out, the new nationwide @FoxNews poll has me alone in 2nd place, closely behind Jeb Bush-but Bush will NEVER Make America Great Again!",Hilary
8,9,2015-06-25,molly-sims,a disaster,The ratings for The View are really low. Nicole Wallace and Molly Sims are a disaster. Get new cast or just put it to sleep. Dead T.V.,Hilary
9,10,2015-06-25,nicole-wallace,a disaster,The ratings for The View are really low. Nicole Wallace and Molly Sims are a disaster. Get new cast or just put it to sleep. Dead T.V.,Hilary
10,11,2015-06-25,the-view,dead T.V.,The ratings for The View are really low. Nicole Wallace and Molly Sims are a disaster. Get new cast or just put it to sleep. Dead T.V.,Hilary
11,12,2015-06-25,the-view,put it to sleep,The ratings for The View are really low. Nicole Wallace and Molly Sims are a disaster. Get new cast or just put it to sleep. Dead T.V.,Hilary
12,13,2015-06-25,nicole-wallace,doesn't have a clue,".@WhoopiGoldberg had better surround herself with better hosts than Nicole Wallace, who doesn't have a clue. The show is close to death!",Hilary
13,14,2015-06-25,the-view,close to death,".@WhoopiGoldberg had better surround herself with better hosts than Nicole Wallace, who doesn't have a clue. The show is close to death!",Hilary
14,15,2015-06-25,lawrence-o-donnell,dopey political pundit,"I hear that dopey political pundit, Lawrence O'Donnell, one of the dumber people on television, is about to lose his show-no ratings?Too bad",Hilary
15,16,2015-06-25,lawrence-o-donnell,one of the dumber people on television,"I hear that dopey political pundit, Lawrence O'Donnell, one of the dumber people on television, is about to lose his show-no ratings?Too bad",Hilary
16,17,2015-06-25,rick-scott,did really poorly on television,Governor Rick Scott of Florida did really poorly on television this morning. I hope he is O.K.,Hilary
17,18,2015-06-26,john-roberts,let us down,Once again the Bush appointed Supreme Court Justice John Roberts has let us down. Jeb pushed him hard! Remember!,Hilary
18,19,2015-06-26,univision,controlled by Mexican government?,.@Univision cares far more about Mexico than it does about the U.S. Are they controlled by the Mexican government?,Hilary
